Text,Number,Rich,Span
This is Bold,123,This is Bold,This is Bold
This is Italic,234,This is Italic,This is Italic
This is Underline,345,This is Underline,This is Underline
This is Stricken,456,This is Stricken,This is Stricken
This is 18 px,567,This is 18 px,This is 18 px
This is superscript,678,This is superscript,This is superscript
This is subscript,789,This is subscript,This is subscript
This is red,135,This is red,This is red
This is green,246,This is green,This is green
This is Times,357,This is Times,This is Times
This is BIU,159,This is 01324576 yes,This is BIU
BG Green,255,White on Blue,Green on Black
Standard Newline,W S,"BR
New  line","Pre
New line"
Height,100,px (not pt),yeah
Top Left,80,Middle Center,Bottom Right
Top Right,60,Bottom Center,Bottom Left
